filename,width,height,class,xmin,ymin,xmax,ymax
2021_03_08__14_18_15.3.jpg,640,480,bee,319,331,363,374
2021_03_08__14_18_15.3.jpg,640,480,bee,99,191,143,260
2021_03_08__14_28_16.5.jpg,640,480,bee,246,124,282,185
2021_03_08__14_28_16.5.jpg,640,480,bee,309,371,375,426
2021_03_08__14_28_16.5.jpg,640,480,bee,531,306,572,350
2021_03_08__14_34_31.2.jpg,640,480,bee,386,351,438,404
2021_03_08__14_34_31.2.jpg,640,480,bee,475,27,502,83
2021_03_08__14_34_31.2.jpg,640,480,bee,335,15,364,57
2021_03_08__14_34_31.2.jpg,640,480,bee,172,368,212,409
2021_03_08__14_03_29.3.jpg,640,480,bee,254,297,288,333
2021_03_08__14_35_31.0.jpg,640,480,bee,170,236,212,276
2021_03_08__14_35_31.0.jpg,640,480,bee,479,39,502,84
2021_03_08__14_27_31.6.jpg,640,480,bee,402,181,445,237
2021_03_08__14_27_31.6.jpg,640,480,bee,325,128,365,177
2021_03_08__14_27_31.6.jpg,640,480,bee,169,93,207,150
2021_03_08__14_27_31.6.jpg,640,480,bee,478,380,514,419
2021_03_08__14_20_30.12.jpg,640,480,bee,323,202,366,270
2021_03_08__14_20_30.12.jpg,640,480,bee,167,182,192,231
2021_03_08__14_22_01.11.jpg,640,480,bee,388,79,447,155
2021_03_08__14_23_01.9.jpg,640,480,bee,244,145,291,207
2021_03_08__14_23_01.9.jpg,640,480,bee,304,285,361,338
2021_03_08__14_23_01.9.jpg,640,480,bee,243,327,286,373
2021_03_08__14_23_01.9.jpg,640,480,bee,244,375,288,440
2021_03_08__14_23_01.9.jpg,640,480,bee,96,313,139,363
2021_03_08__14_23_01.9.jpg,640,480,bee,96,172,144,239
2021_03_08__14_23_01.9.jpg,640,480,bee,181,80,223,114
2021_03_08__14_23_01.9.jpg,640,480,bee,167,33,198,77
2021_03_08__14_23_01.9.jpg,640,480,bee,490,135,527,177
2021_03_08__14_33_01.0.jpg,640,480,bee,406,237,432,294
2021_03_08__14_33_01.0.jpg,640,480,bee,329,302,367,337
2021_03_08__14_33_01.0.jpg,640,480,bee,158,90,203,168
2021_03_08__14_33_01.0.jpg,640,480,bee,114,354,143,392
2021_03_08__14_14_00.5.jpg,640,480,bee,256,181,296,244
2021_03_08__14_14_00.5.jpg,640,480,bee,388,20,436,69
2021_03_08__14_14_00.5.jpg,640,480,bee,168,31,211,77
2021_03_08__14_06_59.11.jpg,640,480,bee,244,148,284,208
2021_03_08__14_06_59.11.jpg,640,480,bee,92,278,143,318
2021_03_08__14_06_59.11.jpg,640,480,bee,481,204,530,253
2021_03_08__14_00_59.3.jpg,640,480,bee,396,342,433,378
2021_03_08__14_00_59.3.jpg,640,480,bee,246,360,292,400
2021_03_08__14_00_59.3.jpg,640,480,bee,108,365,159,409
2021_03_08__14_30_31.10.jpg,640,480,bee,238,153,275,212
2021_03_08__14_30_31.10.jpg,640,480,bee,260,123,300,173
2021_03_08__14_30_31.10.jpg,640,480,bee,381,121,422,159
2021_03_08__14_30_31.10.jpg,640,480,bee,174,48,211,84
2021_03_08__14_30_31.10.jpg,640,480,bee,551,190,574,219
2021_03_08__14_26_01.7.jpg,640,480,bee,231,213,274,272
2021_03_08__14_26_01.7.jpg,640,480,bee,241,384,280,422
2021_03_08__14_26_01.7.jpg,640,480,bee,404,382,435,429
2021_03_08__14_10_45.0.jpg,640,480,bee,167,163,199,222
2021_03_08__14_10_45.0.jpg,640,480,bee,109,332,147,371
2021_03_08__14_31_16.4.jpg,640,480,bee,388,227,447,298
2021_03_08__14_31_16.4.jpg,640,480,bee,161,355,209,404
2021_03_08__14_34_01.3.jpg,640,480,bee,333,311,360,364
2021_03_08__14_34_01.3.jpg,640,480,bee,416,252,441,301
2021_03_08__14_34_01.3.jpg,640,480,bee,480,123,521,177
2021_03_08__14_34_01.3.jpg,640,480,bee,403,372,433,415
2021_03_08__14_34_01.3.jpg,640,480,bee,101,396,137,422
2021_03_08__14_34_01.3.jpg,640,480,bee,106,342,145,390
2021_03_08__14_34_01.3.jpg,640,480,bee,100,296,137,332
2021_03_08__14_18_00.2.jpg,640,480,bee,254,213,294,277
2021_03_08__14_18_00.2.jpg,640,480,bee,245,167,277,216
2021_03_08__14_18_00.2.jpg,640,480,bee,249,111,282,158
2021_03_08__14_18_00.2.jpg,640,480,bee,176,56,216,121
2021_03_08__14_18_00.2.jpg,640,480,bee,473,39,501,84
2021_03_08__14_18_00.2.jpg,640,480,bee,542,69,584,130
2021_03_08__14_27_01.2.jpg,640,480,bee,456,59,510,126
2021_03_08__14_36_01.9.jpg,640,480,bee,171,190,211,258
2021_03_08__14_36_01.9.jpg,640,480,bee,100,139,140,208
2021_03_08__14_36_01.9.jpg,640,480,bee,104,269,137,329
2021_03_08__14_36_01.9.jpg,640,480,bee,186,75,210,130
2021_03_08__14_36_01.9.jpg,640,480,bee,176,44,200,86
2021_03_08__14_34_01.0.jpg,640,480,bee,402,102,438,165
2021_03_08__14_34_01.0.jpg,640,480,bee,475,84,514,138
2021_03_08__14_34_01.0.jpg,640,480,bee,107,168,140,224
2021_03_08__14_34_01.0.jpg,640,480,bee,105,358,134,402
2021_03_08__14_34_01.0.jpg,640,480,bee,316,396,361,437
2021_03_08__14_02_44.1.jpg,640,480,bee,181,128,210,189
2021_03_08__14_02_44.1.jpg,640,480,bee,242,304,278,337
2021_03_08__14_02_44.1.jpg,640,480,bee,250,381,280,414
2021_03_08__14_21_30.7.jpg,640,480,bee,237,234,284,307
2021_03_08__14_21_30.7.jpg,640,480,bee,155,119,218,167
2021_03_08__14_21_30.7.jpg,640,480,bee,317,95,357,159
2021_03_08__14_21_30.7.jpg,640,480,bee,112,158,139,205
2021_03_08__14_12_30.9.jpg,640,480,bee,246,116,296,176
2021_03_08__14_08_15.3.jpg,640,480,bee,242,276,283,332
2021_03_08__14_08_15.3.jpg,640,480,bee,308,110,357,153
2021_03_08__14_08_15.3.jpg,640,480,bee,258,62,293,100
2021_03_08__14_08_15.3.jpg,640,480,bee,545,275,579,331
2021_03_08__14_17_15.2.jpg,640,480,bee,160,216,211,281
2021_03_08__14_17_15.2.jpg,640,480,bee,99,140,150,211
2021_03_08__14_13_00.1.jpg,640,480,bee,159,282,214,331
2021_03_08__14_13_00.1.jpg,640,480,bee,99,169,142,214
2021_03_08__14_13_00.1.jpg,640,480,bee,251,82,292,124
2021_03_08__14_13_00.1.jpg,640,480,bee,331,123,364,174
2021_03_08__14_13_00.1.jpg,640,480,bee,315,257,364,306
2021_03_08__14_13_00.1.jpg,640,480,bee,317,360,373,401
2021_03_08__14_11_15.11.jpg,640,480,bee,250,232,285,303
2021_03_08__14_11_15.11.jpg,640,480,bee,220,321,280,370
2021_03_08__14_11_15.11.jpg,640,480,bee,398,274,441,343
2021_03_08__14_11_15.11.jpg,640,480,bee,407,370,447,417
2021_03_08__14_15_30.7.jpg,640,480,bee,399,105,447,165
2021_03_08__14_15_30.7.jpg,640,480,bee,477,129,510,188
2021_03_08__14_15_30.7.jpg,640,480,bee,538,30,582,66
2021_03_08__14_15_30.7.jpg,640,480,bee,168,140,202,176
